iteration,model,problem,condition,response,timestamp
642,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:20
643,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:20
644,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:20
645,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:20
646,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:20
647,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:20
648,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:20
649,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:20
650,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:20
651,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:20
652,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:20
653,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:20
654,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:20
655,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:20
656,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:20
657,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:20
658,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:20
659,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:20
660,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:20
661,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:20
662,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:20
663,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:20
664,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,A,5/17/26 18:20
665,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:20
666,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:20
667,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:20
668,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:20
669,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:20
670,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:20
671,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:20
672,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:20
673,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:20
674,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:20
675,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:20
676,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:20
677,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:21
678,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:21
679,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:21
680,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:21
681,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:21
682,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:21
683,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:21
684,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:21
685,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:21
686,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:21
687,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:21
688,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:21
689,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:21
690,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:21
691,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:21
692,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:21
693,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:21
694,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:21
695,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:21
696,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:21
697,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:21
698,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:21
699,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:21
700,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:21
701,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:21
702,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:21
703,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:21
704,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:21
705,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:21
706,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:21
707,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:21
708,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:21
709,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:21
710,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:21
711,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:21
712,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:21
713,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:21
714,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:21
715,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:21
716,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:21
717,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:21
718,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:21
719,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:21
720,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:21
721,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:21
722,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:21
723,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:21
724,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,A,5/17/26 18:21
725,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:21
726,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:21
727,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:21
728,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:21
729,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:21
730,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:21
731,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:21
732,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:21
733,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:21
734,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:21
735,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:23
736,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:23
737,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:23
738,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:23
739,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:23
740,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:23
741,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:23
742,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:23
743,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:23
744,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:23
745,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:23
746,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:23
747,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:23
748,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:23
749,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:23
750,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:23
751,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:23
752,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,A,5/17/26 18:23
753,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:23
754,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:23
755,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:23
756,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:23
757,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:23
758,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 18:23
759,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:23
760,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:23
761,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:23
762,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:23
763,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:23
764,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:23
765,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:23
766,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:23
767,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,A,5/17/26 18:23
768,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:23
769,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:23
770,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:23
771,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:23
772,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:23
773,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:23
774,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:23
775,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:23
776,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:23
777,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:23
778,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:23
779,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:23
780,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:23
781,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:23
782,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,A,5/17/26 18:23
783,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:23
784,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:23
785,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:23
786,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:23
787,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:23
788,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:23
789,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:23
790,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:23
791,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:23
792,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:23
793,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:23
794,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:23
795,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:23
796,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:23
797,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:23
798,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:23
799,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:23
800,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
801,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:24
802,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:24
803,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 18:24
804,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
805,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
806,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:24
807,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:24
808,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:24
809,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
810,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
811,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:24
812,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:24
813,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:24
814,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
815,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:24
816,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:24
817,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:24
818,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:24
819,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
820,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
821,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:24
822,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:24
823,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:24
824,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
825,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
826,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:24
827,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
828,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:24
829,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
830,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
831,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:24
832,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:24
833,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:24
834,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
835,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
836,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:24
837,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
838,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 18:24
839,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
840,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
841,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:24
842,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
843,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:24
844,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
845,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
846,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:24
847,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
848,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:24
849,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
850,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
851,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:24
852,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
853,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:24
854,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
855,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:24
856,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:24
857,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
858,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:24
859,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
860,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:24
861,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:24
862,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
863,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 18:24
864,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
865,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
866,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:24
867,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
868,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:24
869,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
870,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:24
871,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:24
872,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
873,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:24
874,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
875,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:24
876,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:24
877,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
878,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:24
879,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
880,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
881,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:24
882,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:24
883,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:24
884,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
885,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
886,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:24
887,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
888,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 18:24
889,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
890,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
891,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:24
892,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:24
893,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 18:24
894,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
895,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:24
896,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:24
897,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:24
898,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:24
899,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
900,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
901,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:24
902,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:24
903,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:24
904,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
905,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
906,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:24
907,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:24
908,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:24
909,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
910,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
911,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:24
912,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:24
913,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:24
914,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
915,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
916,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:24
917,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,B,5/17/26 18:24
918,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:24
919,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:24
920,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
921,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:24
922,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:24
923,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:24
924,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:24
925,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:24
926,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:26
927,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:26
928,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:26
929,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:26
930,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:26
931,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:26
932,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:26
933,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:26
934,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:26
935,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:26
936,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:26
937,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:26
938,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:26
939,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:26
940,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:26
941,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:26
942,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:26
943,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:26
944,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:26
945,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:26
946,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,A,5/17/26 18:26
947,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:26
948,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 18:26
949,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:26
950,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:26
951,gpt-5.5,problem_1_risk_attitudes,condition_2_loss,B,5/17/26 18:26
952,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,A,5/17/26 18:26
953,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:26
954,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:26
